isbn13,isbn10,title,subtitle,authors,categories,description,published_year,average_rating,num_pages,ratings_count
978000712774,000712774X,the illustrated man,,ray bradbury,fiction,,2002.0,4.14,186.0,56781.0
978000712965,0007129653,wilkins tooth,,diana wynne jones,business enterprises,own back limitedrevenge arranged price according to task all difficult tasks undertaken treasure hunted etc it seemed like a marvellous scheme at the time frank and jess had set up the business because they needed money  their pocketmoney had been stopped just when frank owed buster knell ten pence their father had put a quick stop to errands run so why not try something that was bad instead offering to do dreadful things that other people didnt dare to do so they pinned up the notice on the pottingshed and waited for customers but of course nothings ever that straightforward,2002.0,3.59,207.0,69.0
978000713031,0007130317,cut,,patricia mccormick,emotional problems,fifteenyear old callie is so withdrawn that shes not speaking to anyone  including her therapist at sea pines known to its guests as sick minds  the residential treatment facility where her parents and doctor send her after discovering that she cuts herself her story unfolds primarily through dramatic monologues gradually revealing the family turmoil that led to her selfdestructive behaviour,2002.0,3.76,173.0,107.0
978000713565,0007135653,the lord of the rings,The Art of The Return of the King,gary russell,characters and characteristics in motion pictures,with complete access to artwork created over a fiveyear period this guide illustrates the creative development of the return of the king it contains over 600 images from the earliest pencil sketches and conceptual drawings to magnificent paintings sculptures and digital imagery that shaped the look of the film contributing artists include john howe and alan lee artists who have inspired peter jacksons vision of middleearth and worked with him to bring the trilogy to the big screen peter jackson himself provides the afterword in which he discusses the importance of the conceptual art to the film it covers most aspects of the eagerly awaited finale to the enormously successful trilogy from locations and costumes to weaponry and creatures the artists who created all of these diverse elements explain how they contributed to the development of the film,2004.0,4.54,224.0,28.0
978000713658,0007136587,the lord of the rings,,john ronald reuel tolkien,fantasy fiction english,since it was first published in 1954 the lord of the rings has been a book people have treasured steeped in unrivalled magic and otherworldliness its sweeping fantasy has touched the hearts of young and old alike well over 100 million copies of its many editions have been sold around the world and occasional collectors editions become prized and valuable items of publishing with the epic trilogy now being released on film images of the characters and landscapes have become eagerly sought after much of the look of the movies is based on alan lees paintings giving this centenary edition of tolkiens great work new relevance for the evergrowing number of fans,2002.0,4.49,1200.0,680.0
978000713659,0007136595,the fellowship of the ring,,john ronald reuel tolkienalan lee,baggins frodo fictitious character,tolkiens classic fantasy about the quest to save middleearthand the basis for peter jacksons academy awardwinning film trilogyis now available in these young readers editions each book of the trilogy is available individually or together in a threevolume paperback boxed set,2002.0,4.35,410.0,56.0
978000713733,0007137338,lirael,Daughter of the Clayr,garth nix,fantasy fiction,when a dangerous necromancer threatens to unleash a longburied evil lirael and prince sameth are drawn into a battle to save the old kingdom and reveal their true destinies suggested level secondary,2004.0,4.3,527.0,1339.0
978000714912,0007149123,tales from the perilous realm,,john ronald reuel tolkien,fairy tales english,never before published in a single volume tolkiens four novellas farmer giles of ham leaf by niggle smith of wootton major and roverandom and one book of poems the adventures of tom bombadil are gathered together in a fully illustrated set,2002.0,4.08,178.0,2964.0
978000714961,0007149611,breaking open the head,A Visionary Journey from Cynicism to Shamanism,daniel pinchbeck,hallucinogenic drugs,a new the doors of perception for the 21st century a visionary journey from cynicism to shamanism by a brilliant young us writer,2004.0,4.06,336.0,46.0
978000714982,0007149824,the yiddish policemens union,A Novel,michael chabon,fiction,for sixty years jewish refugees and their descendants have prospered in the federal district of sitka a temporary safe haven created in the wake of revelations of the holocaust and the shocking 1948 collapse of the fledgling state of israel proud grateful and longing to be american the jews of the sitka district have created their own little world in the alaskan panhandle a vibrant gritty soulful and complex frontier city that moves to the music of yiddish for sixty years they have been left alone neglected and halfforgotten in a backwater of history now the district is set to revert to alaskan control and their dream is coming to an end once again the tides of history threaten to sweep them up and carry them off into the unknown but homicide detective meyer landsman of the district police has enough problems without worrying about the upcoming reversion his life is a shambles his marriage a wreck his career a disaster he and his halftlingit partner berko shemets cant catch a break in any of their outstanding cases landsmans new supervisor is the love of his lifeand also his worst nightmare and in the cheap hotel where he has washed up someone has just committed a murderright under landsmans nose out of habit obligation and a mysterious sense that it somehow offers him a shot at redeeming himself landsman begins to investigate the killing of his neighbor a former chess prodigy but when word comes down from on high that the case is to be dropped immediately landsman soon finds himself contending with all the powerful forces of faith obsession hopefulness evil and salvation that are his heritageand with the unfinished business of his marriage to bina gelbfish the one person who understands his darkest fears at once a gripping whodunit a love story an homage to 1940s noir and an exploration of the mysteries of exile and redemption the yiddish policemens union is a novel only michael chabon could have written,2007.0,3.7,414.0,51219.0
978000715030,000715030X,beware princess elizabeth,,carolyn meyer,childrens stories,a matter of life and death  and the throne of england,2003.0,3.88,242.0,78.0
978000715124,0007151241,the family way,,tony parsons,parenthood,it should be the most natural thing in the world but in tony parsons latest bestseller three couples discover that mother nature can be one hell of a bitch,2005.0,3.51,400.0,2095.0
978000715167,0007151675,endless night,,agatha christie,fiction,gipsy s acre was a truly beautiful upland site with views out to sea and in michael rogers it stirred a childlike fantasy there among the dark fir trees he planned to build a house find a wonderful girl and live happily ever after yet as he left the village a shadow of menace hung over the land for this was the place where accidents happened perhaps michael should have heeded the locals warnings there s no luck for them as meddles with gipsy s acre ,2002.0,3.77,303.0,12740.0
978000715358,0007153589,how to be alone,,jonathan franzen,literary collections,the harpers essay is reprinted in this volume alongside personal essays and painstaking often funny reportage although his subjects range widely each piece wrestles with the erosion of civic life and private dignity and the hidden persistence of loneliness in postmodern america,2004.0,3.6,306.0,327.0
